reviewer,starRating,comment,createTime,updateTime,name,displayName,reviewer_name,review_id,reviewReply
{'displayName': 'E L'},THREE,"(Translated by Google) I went to the campsite to stay from Saturday to Sunday, I arrived at 3:30 pm and they wanted to charge me 2 days... I was really upset, since I go on almost all holidays. When we decided to leave, the girl at the reception wanted to let us in (after being in that climate/stress) we left, and we got to know a much better camping site than theirs. That is, I always went there, now I have a better option. I think that the campsites in the region should improve the check-in time, because for those who go camping, the time makes a difference (you need to set up tents, see the location... and the camping lighting is not efficient) it is very different than staying in a chalet ... and from what I saw, everyone has the same problem! The campground that allowed me to enter earlier was at the exception level! Another thing... the price of breakfast is very abusive!!

(Original)
Fui ao camping pra ficar de sábado para domingo, cheguei as 15:30 hs e quiseram me cobrar 2 diárias...fiquei bem chateada, já que vou em quase todos os feriados. Quando resolvemos ir embora, a moça da recepção queria liberar a entrada  (depois de ficar aquele clima/ estress) fomos embora, e conhecemos um camping bem melhor que o deles. Ou seja, eu ia sempre lá, agora tenho uma opção melhor. Acho que os campings da região deveriam melhorar o horário de check in, pois quem vai acampar,  o horário faz a diferença (precisa montar barracas, ver a localização..e a iluminação do camping, não é eficiente) é bem diferente do que ficar em um chalé ...e pelo que vi, todos tem o mesmo problema! O camping que liberou a minha entrada antes, foi a nível de excessão! Outra coisa...o preço do café da manhã é muito abusivo!!",2019-01-27T19:06:46.070634Z,2019-01-27T19:06:46.070634Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURJcjd6NFR3EAE,E L,E L,ChZDSUhNMG9nS0VJQ0FnSURJcjd6NFR3EAE,
{'displayName': 'Adauto pero'},FIVE,,2019-01-27T18:51:57.168735Z,2019-01-27T18:51:57.168735Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURJcjZ6ZzFRRRAB,Adauto pero,Adauto pero,ChdDSUhNMG9nS0VJQ0FnSURJcjZ6ZzFRRRAB,
{'displayName': 'Paulo Joao Do Nascimento'},FIVE,"(Translated by Google) Congratulations on the very clean and organized campsite

(Original)
Parabéns ao camping muito limpo e organizado",2019-01-27T12:44:27.499821Z,2019-01-27T12:44:27.499821Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURJejlLRnVBRRAB,Paulo Joao Do Nascimento,Paulo Joao Do Nascimento,ChdDSUhNMG9nS0VJQ0FnSURJejlLRnVBRRAB,
{'displayName': 'Diogo Venom'},FIVE,"(Translated by Google) Very good ....

(Original)
Muito bom ....",2019-01-19T09:40:55.823973Z,2019-01-27T10:56:04.648011Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURJbzRuc1RnEAE,Diogo Venom,Diogo Venom,ChZDSUhNMG9nS0VJQ0FnSURJbzRuc1RnEAE,
{'displayName': 'Vitor Seade Gomide'},FIVE,,2019-01-26T21:56:27.142288Z,2019-01-26T21:56:27.142288Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURJOV9uOXFRRRAB,Vitor Seade Gomide,Vitor Seade Gomide,ChdDSUhNMG9nS0VJQ0FnSURJOV9uOXFRRRAB,
{'displayName': 'Ana Rachel Ribeiro'},FIVE,"(Translated by Google) Clean and organized chalets. Breakfast and lunch are very tasty! Wonderful space to disconnect from the rush and enjoy nature. 😍

(Original)
Chalés limpos e rganizado. Café da manhã e almoço mto saborosos! Espaço maravilhoso para se desligar da correria e curtir a natureza. 😍",2019-01-26T21:28:59.324243Z,2019-01-26T21:28:59.324243Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURJOTRuRDZ3RRAB,Ana Rachel Ribeiro,Ana Rachel Ribeiro,ChdDSUhNMG9nS0VJQ0FnSURJOTRuRDZ3RRAB,
{'displayName': 'Lara Cristina'},FOUR,,2019-01-26T11:39:12.254051Z,2019-01-26T11:39:12.254051Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURJdC15dTl3RRAB,Lara Cristina,Lara Cristina,ChdDSUhNMG9nS0VJQ0FnSURJdC15dTl3RRAB,
{'displayName': 'Lindineide Andrade de Lima Andrade'},FIVE,"(Translated by Google) Excellent place to rest, all the best I recommend approved. For those with good taste.

(Original)
Excelente lugar para descansar, tudo de bom recomendo aprovado. Para quem tem bom gosto.",2019-01-26T11:11:59.743372Z,2019-01-26T11:11:59.743372Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURJdC1UTXpRRRAB,Lindineide Andrade de Lima Andrade,Lindineide Andrade de Lima Andrade,ChdDSUhNMG9nS0VJQ0FnSURJdC1UTXpRRRAB,
{'displayName': 'Fernanda Dias'},THREE,"(Translated by Google) Great place, nice pools, only the restaurant could have more options

(Original)
Ótimo lugar, ótimas piscinas, apenas o restaurante podeira ter mais opções",2019-01-26T02:17:37.992178Z,2019-01-26T02:17:37.992178Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURJMTRMN3RnRRAB,Fernanda Dias,Fernanda Dias,ChdDSUhNMG9nS0VJQ0FnSURJMTRMN3RnRRAB,
{'displayName': 'Rubens Martins de Oliveira'},FOUR,"(Translated by Google) Children love it!

(Original)
As crianças adoram!",2019-01-25T11:34:55.411341Z,2019-01-25T11:36:37.013809Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNZaU9xdzhRRRAB,Rubens Martins de Oliveira,Rubens Martins de Oliveira,ChdDSUhNMG9nS0VJQ0FnSUNZaU9xdzhRRRAB,
{'displayName': 'Paulo Longares'},FOUR,,2019-01-24T18:47:27.609723Z,2019-01-24T18:47:27.609723Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURJeDlmMFJBEAE,Paulo Longares,Paulo Longares,ChZDSUhNMG9nS0VJQ0FnSURJeDlmMFJBEAE,
{'displayName': 'Nilton Flores'},FIVE,"(Translated by Google) Great place.

(Original)
Ótimo lugar.",2019-01-24T09:22:29.662777Z,2019-01-24T09:22:29.662777Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNZaUl6NlpBEAE,Nilton Flores,Nilton Flores,ChZDSUhNMG9nS0VJQ0FnSUNZaUl6NlpBEAE,
{'displayName': 'Ana Paula'},FIVE,"(Translated by Google) I loved

(Original)
Amei",2019-01-24T01:08:01.571176Z,2019-01-24T01:08:01.571176Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURJLS0tZmlRRRAB,Ana Paula,Ana Paula,ChdDSUhNMG9nS0VJQ0FnSURJLS0tZmlRRRAB,
{'displayName': 'Matias Aguiar'},FIVE,"(Translated by Google) Very good... whenever I can, I'll go back to camp...😉

(Original)
Muito bom... sempre que puder, voltarei para acampar....😉",2019-01-23T08:32:17.211467Z,2019-01-23T08:33:14.173525Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURJMjV1LUZ3EAE,Matias Aguiar,Matias Aguiar,ChZDSUhNMG9nS0VJQ0FnSURJMjV1LUZ3EAE,
{'displayName': 'Suzana Santos'},FOUR,,2019-01-23T01:13:39.072667Z,2019-01-23T01:13:39.072667Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNZaUlMZEVBEAE,Suzana Santos,Suzana Santos,ChZDSUhNMG9nS0VJQ0FnSUNZaUlMZEVBEAE,
{'displayName': 'Thainara Monteiro'},FIVE,"(Translated by Google) Boom

(Original)
Booom",2019-04-02T05:25:46.276750Z,2019-04-02T05:25:46.276750Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNZLU5qOGlnRRAB,Thainara Monteiro,Thainara Monteiro,ChdDSUhNMG9nS0VJQ0FnSUNZLU5qOGlnRRAB,
{'displayName': 'Camile M Fontes'},FIVE,"(Translated by Google) I've been attending since 2009 and it only gets better with each new visit. only compliments

(Original)
Frequento desde 2009 e só melhor a a cada nova visita. Só elogios",2019-03-31T22:58:57.802523Z,2019-03-31T22:58:57.802523Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNZNk9tUGNREAE,Camile M Fontes,Camile M Fontes,ChZDSUhNMG9nS0VJQ0FnSUNZNk9tUGNREAE,
{'displayName': 'Fabio Rocha'},FIVE,,2019-03-31T22:24:26.741411Z,2019-03-31T22:24:26.741411Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNZNk9ISHNRRRAB,Fabio Rocha,Fabio Rocha,ChdDSUhNMG9nS0VJQ0FnSUNZNk9ISHNRRRAB,
{'displayName': 'Bruno Martins'},FIVE,,2019-03-31T21:43:19.642355Z,2019-03-31T21:43:19.642355Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNZNk02LTFnRRAB,Bruno Martins,Bruno Martins,ChdDSUhNMG9nS0VJQ0FnSUNZNk02LTFnRRAB,
{'displayName': 'Ana Paula Batista'},FIVE,"(Translated by Google) The best in the region

(Original)
O melhor da região",2017-12-31T00:28:32.018Z,2019-03-31T16:05:41.283689Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNZaU83MElBEAE,Ana Paula Batista,Ana Paula Batista,ChZDSUhNMG9nS0VJQ0FnSUNZaU83MElBEAE,
{'displayName': 'Ricardo Oliveira'},FOUR,"(Translated by Google) Very beautiful

(Original)
Muito bonito",2019-03-30T19:35:28.732501Z,2019-03-30T19:43:20.442710Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNZOEttQmRBEAE,Ricardo Oliveira,Ricardo Oliveira,ChZDSUhNMG9nS0VJQ0FnSUNZOEttQmRBEAE,
{'displayName': 'Thays VS Brasil'},FIVE,"(Translated by Google) Perfect

(Original)
Perfeito",2019-03-27T03:18:53.100667Z,2019-03-27T03:18:53.100667Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURvbl9LNVl3EAE,Thays VS Brasil,Thays VS Brasil,ChZDSUhNMG9nS0VJQ0FnSURvbl9LNVl3EAE,
{'displayName': 'eduardo miyashiro'},FOUR,"(Translated by Google) Excellent

(Original)
Otimo",2019-03-26T18:00:15.448823Z,2019-03-26T18:00:15.448823Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURvci1fdTVnRRAB,eduardo miyashiro,eduardo miyashiro,ChdDSUhNMG9nS0VJQ0FnSURvci1fdTVnRRAB,
{'displayName': 'PABLO CEPEDA'},FIVE,"(Translated by Google) Very tasty.

(Original)
Muito gostoso.",2019-03-26T16:43:09.043689Z,2019-03-26T16:43:09.043689Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURvci1PX1h3EAE,PABLO CEPEDA,PABLO CEPEDA,ChZDSUhNMG9nS0VJQ0FnSURvci1PX1h3EAE,
{'displayName': 'Cláudio Dias'},FIVE,,2019-03-26T13:07:42.490416Z,2019-03-26T13:07:42.490416Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURvcjRMa1NREAE,Cláudio Dias,Cláudio Dias,ChZDSUhNMG9nS0VJQ0FnSURvcjRMa1NREAE,
{'displayName': 'Andreildes Dias'},FIVE,"(Translated by Google) Wonderful place created by God, very green

(Original)
Lugar maravilhoso criação de Deus muito verde",2019-03-26T12:32:24.113958Z,2019-03-26T12:32:24.113958Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURvcjVTM0ZREAE,Andreildes Dias,Andreildes Dias,ChZDSUhNMG9nS0VJQ0FnSURvcjVTM0ZREAE,
{'displayName': 'Tânia da SilvaKAUA'},FIVE,"(Translated by Google) It was wonderful a beautiful place to relax

(Original)
Foi maravilhoso um lugar lindo p relaxa",2019-03-26T09:19:49.208543Z,2019-03-26T09:19:49.208543Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNZaU5xNS1BRRAB,Tânia da SilvaKAUA,Tânia da SilvaKAUA,ChdDSUhNMG9nS0VJQ0FnSUNZaU5xNS1BRRAB,
{'displayName': 'Juliano Martines'},FIVE,"(Translated by Google) A great place!
highly recommend

(Original)
Um ótimo lugar!
Super recomendo",2019-03-25T22:23:49.008624Z,2019-03-25T22:23:49.008624Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURvajlYSU5REAE,Juliano Martines,Juliano Martines,ChZDSUhNMG9nS0VJQ0FnSURvajlYSU5REAE,
{'displayName': 'Valner Vaz'},FIVE,,2019-03-25T00:07:48.125315Z,2019-03-25T00:07:48.125315Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURvMTQtbkt3EAE,Valner Vaz,Valner Vaz,ChZDSUhNMG9nS0VJQ0FnSURvMTQtbkt3EAE,
{'displayName': 'Elias Ferreira Junior'},FIVE,,2019-03-24T23:40:15.217956Z,2019-03-24T23:40:15.217956Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURvMTd1aWVREAE,Elias Ferreira Junior,Elias Ferreira Junior,ChZDSUhNMG9nS0VJQ0FnSURvMTd1aWVREAE,
{'displayName': 'Marcio Sousa'},FOUR,,2019-03-24T21:02:40.305427Z,2019-03-24T21:04:51.659196Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURvMTRIdGRnEAE,Marcio Sousa,Marcio Sousa,ChZDSUhNMG9nS0VJQ0FnSURvMTRIdGRnEAE,
{'displayName': 'Danilo Ruys Mendes'},FIVE,"(Translated by Google) Camp with great features

(Original)
Camp com ótimos recursos",2019-03-24T20:58:22.691815Z,2019-03-24T20:58:22.691815Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURvMV83MkNnEAE,Danilo Ruys Mendes,Danilo Ruys Mendes,ChZDSUhNMG9nS0VJQ0FnSURvMV83MkNnEAE,
{'displayName': 'Alana Brezenski'},FIVE,,2019-03-22T13:02:37.626937Z,2019-03-22T13:02:37.626937Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURvMl9HS0pnEAE,Alana Brezenski,Alana Brezenski,ChZDSUhNMG9nS0VJQ0FnSURvMl9HS0pnEAE,
{'displayName': 'Carol Bueno'},FIVE,,2019-03-22T09:20:44.523893Z,2019-03-22T09:20:44.523893Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURvMi1pSnJ3RRAB,Carol Bueno,Carol Bueno,ChdDSUhNMG9nS0VJQ0FnSURvMi1pSnJ3RRAB,
{'displayName': 'Aldemir Veronezi'},FIVE,"(Translated by Google) Good infrastructure with affordable prices.

(Original)
Boa infraestrutura com preços acessíveis.",2019-03-21T20:21:26.010859Z,2019-03-21T20:21:26.010859Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURvOF9lNjFRRRAB,Aldemir Veronezi,Aldemir Veronezi,ChdDSUhNMG9nS0VJQ0FnSURvOF9lNjFRRRAB,
{'displayName': 'Ana Clara'},FIVE,"(Translated by Google) Perfect!

(Original)
Perfeito!",2020-08-20T13:47:18.686518Z,2020-08-21T14:00:24.019959Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNDbXZPQXN3RRAB,Ana Clara,Ana Clara,ChdDSUhNMG9nS0VJQ0FnSUNDbXZPQXN3RRAB,
{'displayName': 'Jose Lucio Zappelini'},FIVE,"(Translated by Google) Good fish, nice service, pleasant landscape, good food and drink!

(Original)
Bons peixes, atendimento legal, paisagem agradável, comida e bebida boa!",2020-08-17T20:23:01.400263Z,2020-08-17T20:23:51.692891Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNDa3JUTXdnRRAB,Jose Lucio Zappelini,Jose Lucio Zappelini,ChdDSUhNMG9nS0VJQ0FnSUNDa3JUTXdnRRAB,
{'displayName': 'Miriam Ungareti'},FIVE,,2020-08-10T12:30:48.442674Z,2020-08-10T12:30:48.442674Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNDMktDTWNnEAE,Miriam Ungareti,Miriam Ungareti,ChZDSUhNMG9nS0VJQ0FnSUNDMktDTWNnEAE,
{'displayName': 'Wagner Williams Rodrigues'},FIVE,,2020-08-09T20:45:35.388317Z,2020-08-09T20:45:35.388317Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNDNk9yaXZBRRAB,Wagner Williams Rodrigues,Wagner Williams Rodrigues,ChdDSUhNMG9nS0VJQ0FnSUNDNk9yaXZBRRAB,
{'displayName': 'POLACKA OLIVIE'},TWO,"(Translated by Google) only tel naum answers.....I need to make my reservation....

(Original)
só o tel naum atende.....preciso fazer minha reserva....",2020-08-08T15:44:29.310105Z,2020-08-08T15:44:29.310105Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNDOExyRjhBRRAB,POLACKA OLIVIE,POLACKA OLIVIE,ChdDSUhNMG9nS0VJQ0FnSUNDOExyRjhBRRAB,
{'displayName': 'Alan Santana Lopes'},FOUR,,2020-08-01T22:05:52.223835Z,2020-08-01T22:05:52.223835Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUQ4bDVESnFBRRAB,Alan Santana Lopes,Alan Santana Lopes,ChdDSUhNMG9nS0VJQ0FnSUQ4bDVESnFBRRAB,
{'displayName': 'IVONETE OLIVEIRA'},FIVE,"(Translated by Google) Wonderful as always, we love this place.

(Original)
Maravilhoso como sempre, amamos este lugar.",2020-08-01T20:34:07.586640Z,2020-08-01T20:35:53.338768Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUQ4NS12emRnEAE,IVONETE OLIVEIRA,IVONETE OLIVEIRA,ChZDSUhNMG9nS0VJQ0FnSUQ4NS12emRnEAE,
{'displayName': 'Vinicius Santos'},FIVE,,2020-07-30T18:44:37.094186Z,2020-07-30T18:44:37.094186Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUQ4bTZtVUtREAE,Vinicius Santos,Vinicius Santos,ChZDSUhNMG9nS0VJQ0FnSUQ4bTZtVUtREAE,
{'displayName': 'Edesio Cuzzuol'},THREE,"(Translated by Google) Excellent quality and work...

(Original)
Excelente qualidade e trabalho...",2020-07-26T17:08:00.239786Z,2020-07-26T17:08:08.544947Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUQ4dllMREhBEAE,Edesio Cuzzuol,Edesio Cuzzuol,ChZDSUhNMG9nS0VJQ0FnSUQ4dllMREhBEAE,
{'displayName': 'ALLAN Carriel'},FIVE,"(Translated by Google) Excellent

(Original)
Ótimo",2020-07-17T13:15:49.326754Z,2020-07-25T21:12:10.685392Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUM4XzVYa1V3EAE,ALLAN Carriel,ALLAN Carriel,ChZDSUhNMG9nS0VJQ0FnSUM4XzVYa1V3EAE,
{'displayName': 'Juh Pedroso'},FIVE,,2020-07-25T14:29:31.983792Z,2020-07-25T14:29:31.983792Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUQ4cmMtNnZnRRAB,Juh Pedroso,Juh Pedroso,ChdDSUhNMG9nS0VJQ0FnSUQ4cmMtNnZnRRAB,
{'displayName': 'Osni Piva'},THREE,,2020-07-24T10:54:29.128558Z,2020-07-24T10:54:29.128558Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUQ4OWE2WHVnRRAB,Osni Piva,Osni Piva,ChdDSUhNMG9nS0VJQ0FnSUQ4OWE2WHVnRRAB,
{'displayName': 'Vini Morais'},FIVE,,2020-07-22T21:46:51.002633Z,2020-07-22T21:46:51.002633Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUQ4NWZURS1RRRAB,Vini Morais,Vini Morais,ChdDSUhNMG9nS0VJQ0FnSUQ4NWZURS1RRRAB,
{'displayName': 'Fred Oliveira Jr'},FIVE,"(Translated by Google) Pleasant environment, good restaurant and for those who like a little more radical fun, there are paintball fields on site. I recommend!

(Original)
Ambiente agradável, bom restaurante e para quem gosta de uma diversão um pouco mais radical, existe campos de paintball no local. Recomendo!",2020-07-19T22:18:55.329150Z,2020-07-20T22:51:34.056Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUQ4eWMyMjRBRRAB,Fred Oliveira Jr,Fred Oliveira Jr,ChdDSUhNMG9nS0VJQ0FnSUQ4eWMyMjRBRRAB,
{'displayName': 'Moema Joffily Dias'},FOUR,,2020-07-18T12:24:22.548106Z,2020-07-18T12:26:05.574934Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUQ4eHBhTjFnRRAB,Moema Joffily Dias,Moema Joffily Dias,ChdDSUhNMG9nS0VJQ0FnSUQ4eHBhTjFnRRAB,
{'displayName': 'edison foca'},FIVE,"(Translated by Google) Very good, I recommend

(Original)
Muito bom recomendo",2020-07-09T16:20:21.707158Z,2020-07-09T16:20:22.421325Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUM4a2FuRFF3EAE,edison foca,edison foca,ChZDSUhNMG9nS0VJQ0FnSUM4a2FuRFF3EAE,
{'displayName': 'Cleison Souza'},FIVE,"(Translated by Google) Wonderful

(Original)
Maravilhoso",2020-07-05T12:53:01.239788Z,2020-07-05T12:53:01.239788Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUM4NXVUTmpRRRAB,Cleison Souza,Cleison Souza,ChdDSUhNMG9nS0VJQ0FnSUM4NXVUTmpRRRAB,
{'displayName': 'Katia Prado Fotógrafa'},FIVE,"(Translated by Google) Wonderful, worth knowing 😍

(Original)
Maravilhoso, vale a pena conhecer 😍",2020-07-01T22:49:21.639303Z,2020-07-01T22:50:57.918759Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUM4cXV6X0pREAE,Katia Prado Fotógrafa,Katia Prado Fotógrafa,ChZDSUhNMG9nS0VJQ0FnSUM4cXV6X0pREAE,
{'displayName': 'Leandro Henrique'},FOUR,,2020-06-30T02:09:25.385317Z,2020-06-30T02:09:25.385317Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUM4MHFuV0J3EAE,Leandro Henrique,Leandro Henrique,ChZDSUhNMG9nS0VJQ0FnSUM4MHFuV0J3EAE,
{'displayName': 'Arquiteto André Pace'},FIVE,"(Translated by Google) very good

(Original)
muito bom",2020-06-26T19:20:41.799470Z,2020-06-26T19:20:41.799470Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUM4M09XTjF3RRAB,Arquiteto André Pace,Arquiteto André Pace,ChdDSUhNMG9nS0VJQ0FnSUM4M09XTjF3RRAB,
{'displayName': 'Waldemir F Scalco'},FIVE,"(Translated by Google) Great

(Original)
Excelente",2019-06-22T12:11:32.758170Z,2019-06-22T12:11:32.758170Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNraWFHQkRnEAE,Waldemir F Scalco,Waldemir F Scalco,ChZDSUhNMG9nS0VJQ0FnSUNraWFHQkRnEAE,
{'displayName': 'Edilson Sanna'},FIVE,,2019-06-21T20:12:16.494018Z,2019-06-21T20:12:16.494018Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNraXN6a1lREAE,Edilson Sanna,Edilson Sanna,ChZDSUhNMG9nS0VJQ0FnSUNraXN6a1lREAE,
{'displayName': 'antonio freddi'},FIVE,"(Translated by Google) Super Cool

(Original)
Super legal",2019-06-21T10:19:02.551961Z,2019-06-21T10:19:02.551961Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNrd3BpZTR3RRAB,antonio freddi,antonio freddi,ChdDSUhNMG9nS0VJQ0FnSUNrd3BpZTR3RRAB,
{'displayName': 'Bruna Caroliny'},FIVE,"(Translated by Google) Beautiful place!
Excellent organization, great infrastructure, spectacular service, and tasty food.
I highly recommend.

(Original)
Lugar lindo!
Organização excelente, infraestrutura ótima, atendimento espetacular, e comida saborosa.
Super recomendo.",2019-06-20T14:20:25.555163Z,2019-06-20T14:20:25.555163Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURFNF91dXdBRRAB,Bruna Caroliny,Bruna Caroliny,ChdDSUhNMG9nS0VJQ0FnSURFNF91dXdBRRAB,
{'displayName': 'Samira Ramos Da Silva'},FIVE,"(Translated by Google) Simple but very welcoming space, great for leisure with the family ☺

(Original)
Espaco simples, porem muito acolhedor, otimo para tirar um lazer com a familia ☺",2019-06-20T13:14:51.639011Z,2019-06-20T13:14:51.639011Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURFZzVQNlZBEAE,Samira Ramos Da Silva,Samira Ramos Da Silva,ChZDSUhNMG9nS0VJQ0FnSURFZzVQNlZBEAE,
{'displayName': 'Re Brossa'},FIVE,,2019-06-19T23:07:27.304003Z,2019-06-19T23:07:27.304003Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURFOXFuM1Z3EAE,Re Brossa,Re Brossa,ChZDSUhNMG9nS0VJQ0FnSURFOXFuM1Z3EAE,
{'displayName': 'Claus San'},FIVE,"(Translated by Google) Very good

(Original)
Muito bom",2019-06-18T08:40:35.240803Z,2019-06-18T08:40:35.240803Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURFcVBLRzRnRRAB,Claus San,Claus San,ChdDSUhNMG9nS0VJQ0FnSURFcVBLRzRnRRAB,
{'displayName': 'Kaique Berardinelli'},FIVE,"(Translated by Google) Without a doubt it is the camping with the best structure that I have ever been to!

(Original)
Sem dúvida é o camping com a melhor estrutura que já fui!",2019-06-17T09:21:47.198078Z,2019-06-17T09:21:47.198078Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNFazUtM1VBEAE,Kaique Berardinelli,Kaique Berardinelli,ChZDSUhNMG9nS0VJQ0FnSUNFazUtM1VBEAE,
